[INFO ] 2026-02-02 22:42:05,158 [main]  com.oltpbenchmark.DBWorkload main - ======================================================================

Benchmark:              TPCC {com.oltpbenchmark.benchmarks.tpcc.TPCCBenchmark}
Configuration:          config/postgres/sample_tpcc_config.xml
Type:                   POSTGRES
Driver:                 org.postgresql.Driver
URL:                    jdbc:postgresql://localhost:5432/tpcc_10?sslmode=disable&ApplicationName=tpcc&reWriteBatchedInserts=true
Isolation:              TRANSACTION_SERIALIZABLE
Batch Size:             128
Scale Factor:           10.0
Terminals:              8
New Connection Per Txn: false

[INFO ] 2026-02-02 22:42:05,159 [main]  com.oltpbenchmark.DBWorkload main - ======================================================================
[INFO ] 2026-02-02 22:42:05,514 [main]  com.oltpbenchmark.DBWorkload runWorkload - Creating 8 virtual terminals...
[INFO ] 2026-02-02 22:42:05,600 [main]  com.oltpbenchmark.DBWorkload runWorkload - Launching the TPCC Benchmark with 1 Phase...
[INFO ] 2026-02-02 22:42:05,605 [main]  com.oltpbenchmark.ThreadBench runRateLimitedMultiPhase - [0;1mPHASE START[0;0m :: [Workload=TPCC] [Serial=false] [Time=120] [WarmupTime=0] [Rate=unlimited] [Arrival=REGULAR] [Ratios=[45.0, 43.0, 4.0, 4.0, 4.0]] [ActiveWorkers=8]
[INFO ] 2026-02-02 22:42:06,604 [main]  com.oltpbenchmark.ThreadBench runRateLimitedMultiPhase - [0;1mMEASURE[0;0m :: Warmup complete, starting measurements.
[WARN ] 2026-02-02 22:43:21,883 [TPCCWorker<003>]  com.oltpbenchmark.benchmarks.tpcc.procedures.Delivery getOrderId - District has no new orders [W_ID=5, D_ID=8]
[WARN ] 2026-02-02 22:43:21,922 [TPCCWorker<003>]  com.oltpbenchmark.benchmarks.tpcc.procedures.Delivery getOrderId - District has no new orders [W_ID=5, D_ID=8]
[WARN ] 2026-02-02 22:43:22,053 [TPCCWorker<003>]  com.oltpbenchmark.benchmarks.tpcc.procedures.Delivery getOrderId - District has no new orders [W_ID=5, D_ID=8]
[WARN ] 2026-02-02 22:43:22,090 [TPCCWorker<003>]  com.oltpbenchmark.benchmarks.tpcc.procedures.Delivery getOrderId - District has no new orders [W_ID=5, D_ID=7]
[WARN ] 2026-02-02 22:43:22,090 [TPCCWorker<003>]  com.oltpbenchmark.benchmarks.tpcc.procedures.Delivery getOrderId - District has no new orders [W_ID=5, D_ID=8]
[WARN ] 2026-02-02 22:43:22,124 [TPCCWorker<003>]  com.oltpbenchmark.benchmarks.tpcc.procedures.Delivery getOrderId - District has no new orders [W_ID=5, D_ID=7]
[WARN ] 2026-02-02 22:43:22,124 [TPCCWorker<003>]  com.oltpbenchmark.benchmarks.tpcc.procedures.Delivery getOrderId - District has no new orders [W_ID=5, D_ID=8]
[WARN ] 2026-02-02 22:43:22,172 [TPCCWorker<003>]  com.oltpbenchmark.benchmarks.tpcc.procedures.Delivery getOrderId - District has no new orders [W_ID=5, D_ID=7]
[WARN ] 2026-02-02 22:43:22,174 [TPCCWorker<003>]  com.oltpbenchmark.benchmarks.tpcc.procedures.Delivery getOrderId - District has no new orders [W_ID=5, D_ID=8]
[WARN ] 2026-02-02 22:43:22,176 [TPCCWorker<003>]  com.oltpbenchmark.benchmarks.tpcc.procedures.Delivery getOrderId - District has no new orders [W_ID=5, D_ID=10]
[WARN ] 2026-02-02 22:43:22,387 [TPCCWorker<003>]  com.oltpbenchmark.benchmarks.tpcc.procedures.Delivery getOrderId - District has no new orders [W_ID=5, D_ID=7]
[WARN ] 2026-02-02 22:43:22,388 [TPCCWorker<003>]  com.oltpbenchmark.benchmarks.tpcc.procedures.Delivery getOrderId - District has no new orders [W_ID=5, D_ID=8]
[WARN ] 2026-02-02 22:43:22,389 [TPCCWorker<003>]  com.oltpbenchmark.benchmarks.tpcc.procedures.Delivery getOrderId - District has no new orders [W_ID=5, D_ID=10]
[WARN ] 2026-02-02 22:43:22,494 [TPCCWorker<003>]  com.oltpbenchmark.benchmarks.tpcc.procedures.Delivery getOrderId - District has no new orders [W_ID=5, D_ID=7]
[WARN ] 2026-02-02 22:43:22,495 [TPCCWorker<003>]  com.oltpbenchmark.benchmarks.tpcc.procedures.Delivery getOrderId - District has no new orders [W_ID=5, D_ID=8]
[WARN ] 2026-02-02 22:43:22,496 [TPCCWorker<003>]  com.oltpbenchmark.benchmarks.tpcc.procedures.Delivery getOrderId - District has no new orders [W_ID=5, D_ID=10]
[WARN ] 2026-02-02 22:43:22,652 [TPCCWorker<003>]  com.oltpbenchmark.benchmarks.tpcc.procedures.Delivery getOrderId - District has no new orders [W_ID=5, D_ID=3]
[WARN ] 2026-02-02 22:43:22,653 [TPCCWorker<003>]  com.oltpbenchmark.benchmarks.tpcc.procedures.Delivery getOrderId - District has no new orders [W_ID=5, D_ID=5]
[WARN ] 2026-02-02 22:43:22,654 [TPCCWorker<003>]  com.oltpbenchmark.benchmarks.tpcc.procedures.Delivery getOrderId - District has no new orders [W_ID=5, D_ID=6]
[WARN ] 2026-02-02 22:43:22,654 [TPCCWorker<003>]  com.oltpbenchmark.benchmarks.tpcc.procedures.Delivery getOrderId - District has no new orders [W_ID=5, D_ID=7]
[WARN ] 2026-02-02 22:43:22,654 [TPCCWorker<003>]  com.oltpbenchmark.benchmarks.tpcc.procedures.Delivery getOrderId - District has no new orders [W_ID=5, D_ID=8]
[WARN ] 2026-02-02 22:43:22,655 [TPCCWorker<003>]  com.oltpbenchmark.benchmarks.tpcc.procedures.Delivery getOrderId - District has no new orders [W_ID=5, D_ID=9]
[WARN ] 2026-02-02 22:43:22,655 [TPCCWorker<003>]  com.oltpbenchmark.benchmarks.tpcc.procedures.Delivery getOrderId - District has no new orders [W_ID=5, D_ID=10]
[WARN ] 2026-02-02 22:43:22,683 [TPCCWorker<003>]  com.oltpbenchmark.benchmarks.tpcc.procedures.Delivery getOrderId - District has no new orders [W_ID=5, D_ID=1]
[WARN ] 2026-02-02 22:43:22,683 [TPCCWorker<003>]  com.oltpbenchmark.benchmarks.tpcc.procedures.Delivery getOrderId - District has no new orders [W_ID=5, D_ID=2]
[WARN ] 2026-02-02 22:43:22,684 [TPCCWorker<003>]  com.oltpbenchmark.benchmarks.tpcc.procedures.Delivery getOrderId - District has no new orders [W_ID=5, D_ID=3]
[WARN ] 2026-02-02 22:43:22,686 [TPCCWorker<003>]  com.oltpbenchmark.benchmarks.tpcc.procedures.Delivery getOrderId - District has no new orders [W_ID=5, D_ID=5]
[WARN ] 2026-02-02 22:43:22,686 [TPCCWorker<003>]  com.oltpbenchmark.benchmarks.tpcc.procedures.Delivery getOrderId - District has no new orders [W_ID=5, D_ID=6]
[WARN ] 2026-02-02 22:43:22,686 [TPCCWorker<003>]  com.oltpbenchmark.benchmarks.tpcc.procedures.Delivery getOrderId - District has no new orders [W_ID=5, D_ID=7]
[WARN ] 2026-02-02 22:43:22,687 [TPCCWorker<003>]  com.oltpbenchmark.benchmarks.tpcc.procedures.Delivery getOrderId - District has no new orders [W_ID=5, D_ID=8]
[WARN ] 2026-02-02 22:43:22,687 [TPCCWorker<003>]  com.oltpbenchmark.benchmarks.tpcc.procedures.Delivery getOrderId - District has no new orders [W_ID=5, D_ID=9]
[WARN ] 2026-02-02 22:43:22,687 [TPCCWorker<003>]  com.oltpbenchmark.benchmarks.tpcc.procedures.Delivery getOrderId - District has no new orders [W_ID=5, D_ID=10]
[WARN ] 2026-02-02 22:43:22,694 [TPCCWorker<003>]  com.oltpbenchmark.benchmarks.tpcc.procedures.Delivery getOrderId - District has no new orders [W_ID=5, D_ID=1]
[WARN ] 2026-02-02 22:43:22,694 [TPCCWorker<003>]  com.oltpbenchmark.benchmarks.tpcc.procedures.Delivery getOrderId - District has no new orders [W_ID=5, D_ID=2]
[WARN ] 2026-02-02 22:43:22,694 [TPCCWorker<003>]  com.oltpbenchmark.benchmarks.tpcc.procedures.Delivery getOrderId - District has no new orders [W_ID=5, D_ID=3]
[WARN ] 2026-02-02 22:43:22,695 [TPCCWorker<003>]  com.oltpbenchmark.benchmarks.tpcc.procedures.Delivery getOrderId - District has no new orders [W_ID=5, D_ID=4]
[WARN ] 2026-02-02 22:43:22,695 [TPCCWorker<003>]  com.oltpbenchmark.benchmarks.tpcc.procedures.Delivery getOrderId - District has no new orders [W_ID=5, D_ID=5]
[WARN ] 2026-02-02 22:43:22,695 [TPCCWorker<003>]  com.oltpbenchmark.benchmarks.tpcc.procedures.Delivery getOrderId - District has no new orders [W_ID=5, D_ID=6]
[WARN ] 2026-02-02 22:43:22,696 [TPCCWorker<003>]  com.oltpbenchmark.benchmarks.tpcc.procedures.Delivery getOrderId - District has no new orders [W_ID=5, D_ID=7]
[WARN ] 2026-02-02 22:43:22,696 [TPCCWorker<003>]  com.oltpbenchmark.benchmarks.tpcc.procedures.Delivery getOrderId - District has no new orders [W_ID=5, D_ID=8]
[WARN ] 2026-02-02 22:43:22,696 [TPCCWorker<003>]  com.oltpbenchmark.benchmarks.tpcc.procedures.Delivery getOrderId - District has no new orders [W_ID=5, D_ID=9]
